Time,!a,!b,!c
4491.08781757819,3,10000,94
4513.40579577515,3,10000,95
4534.85416918338,3,10000,94
4556.96188804022,3,10000,93
4577.39432870054,3,10000,93
4605.48632116876,3,10000,93
4628.43401318514,3,10000,95
4650.06359145212,3,10000,95
4670.5089538567,3,10000,94
4693.00045074344,3,10000,91
4713.20333300209,3,10000,89
4734.13747694259,3,10000,88
4758.7644589055,3,10000,89
4783.86330133561,3,10000,86
4808.67178978429,3,10000,88
4839.05229258122,3,10000,91
4869.47891245235,3,10000,93
4890.58920337303,3,10000,97
4914.78538233219,3,10000,96
4945.43384951396,3,10000,95
4971.67604587699,3,10000,92
5009.35632429047,3,10000,97
5032.22227043199,3,10000,99
5062.80957855965,3,10000,98
5088.01417360735,3,10000,101
5120.46609705897,3,10000,101
5140.96015289397,3,10000,101
5163.90967849537,3,10000,102
5186.15277909566,3,10000,106
5206.18287997212,3,10000,108
5234.9100692543,2,10000,108
5267.99952876323,2,10000,107
5290.09656112412,2,10000,109
5317.98990154629,2,10000,107
5346.62020110518,2,10000,112
5375.33166212003,2,10000,108
5397.17796397241,2,10000,107
5417.26027744144,1,10000,105
5443.90170736387,1,10000,103
5464.81255196325,1,10000,105
5487.14060506937,1,10000,107
5521.00148919976,1,10000,106
5541.55901343844,1,10000,108
5591.87968720382,1,10000,108
5619.37094224904,1,10000,108
5643.97869735983,1,10000,114
5664.09709944974,1,10000,114
5685.73312337515,1,10000,112
5706.8509856029,1,10000,111
5728.3299255732,1,10000,109
5764.92574894071,1,10000,109
5788.06850024649,1,10000,109
5809.84211112297,1,10000,111
5832.00382400681,1,10000,112
5854.69664983291,1,10000,114
5883.74510081054,1,10000,112
5911.77947571206,1,10000,109
5934.36979811523,1,10000,106
5958.38678667408,1,10000,104
5994.8454020536,1,10000,101
6017.62085292036,1,10000,98
6041.7606900969,1,10000,97
6063.28780503559,1,10000,94
6085.50412664888,1,10000,93
6107.52961844077,1,10000,96
6132.56970279685,1,10000,96
6173.28944311295,1,10000,89
6197.17022498581,1,10000,89
6218.71536142156,10000,10000,90
6246.49309217509,10000,10000,92
6269.49908705143,10000,10000,90
6297.57438114837,10000,10000,91
6328.07883086293,10000,10000,93
6350.09698464393,10000,10000,91
6370.42296477097,10000,10000,90
6391.2465591147,10000,10000,89
6422.64072735003,10000,10000,89
6447.9658937031,10000,10000,89
6472.95818729551,10000,10000,90
6499.64234303026,10000,10000,87
6526.11354936501,10000,10000,88
6551.27476970757,10000,10000,89
6576.53089155951,10000,10000,89
6597.20910630655,10000,10000,91
6625.12983765956,10000,10000,88
6647.46200314033,10000,10000,89
6678.88640860087,10000,10000,89
6699.75441491388,10000,10000,89
6719.96792656252,10000,10000,87
6740.43286359802,10000,10000,87
6768.22696348877,10000,10000,83
6791.30220313712,10000,10000,86
6814.45918618007,10000,10000,88
6834.47191545294,10000,10000,89
6855.62153466572,10000,10000,88
6888.82077447116,10000,10000,88
6908.90941037249,10000,10000,90
6929.51816697763,10000,10000,90
6956.36887140806,10000,10000,94
6977.46043080827,10000,10000,93
7001.63411829539,10000,10000,93
7021.84240207767,10000,10000,93
7046.41230547434,10000,10000,96
7069.33784088957,10000,10000,96
7091.50542717707,10000,10000,93
7121.51843846927,10000,10000,95
7142.87380610352,10000,10000,99
7162.93983794189,10000,10000,99
7192.92764060752,10000,10000,102
7221.07996154143,10000,10000,103
7243.77092011061,10000,10000,108
7264.90428097785,10000,10000,111
7285.00524980886,10000,10000,111
7311.17038739299,10000,10000,112
